ID,송신시간,수신시간,응답시간(ms),MSG_Type,센서명,상태,비고
1,2025-10-24 09:56:53.188,2025-10-24 09:56:53.376,187.91,단상 전력량계,단상 전력량계,성공,
2,2025-10-24 09:56:54.390,2025-10-24 09:56:54.499,109.01,온습도 센서,온습도 센서,성공,
3,2025-10-24 09:56:55.513,2025-10-24 09:56:55.684,171.14,CO2 센서,CO2 센서,성공,
4,2025-10-24 09:56:56.698,2025-10-24 09:56:56.869,,단상 전력량계,단상 전력량계,타임아웃,응답 없음
5,2025-10-24 09:56:57.879,2025-10-24 09:56:58.049,169.50,온습도 센서,온습도 센서,성공,
6,2025-10-24 09:56:59.059,2025-10-24 09:56:59.169,110.09,CO2 센서,CO2 센서,성공,
7,2025-10-24 09:57:00.181,2025-10-24 09:57:00.353,172.23,단상 전력량계,단상 전력량계,성공,
8,2025-10-24 09:57:01.365,2025-10-24 09:57:01.536,170.94,온습도 센서,온습도 센서,성공,
9,2025-10-24 09:57:02.549,2025-10-24 09:57:02.721,171.96,CO2 센서,CO2 센서,성공,
10,2025-10-24 09:57:03.736,2025-10-24 09:57:03.909,173.12,단상 전력량계,단상 전력량계,성공,
11,2025-10-24 09:57:04.920,2025-10-24 09:57:05.090,169.87,온습도 센서,온습도 센서,성공,
12,2025-10-24 09:57:06.102,2025-10-24 09:57:06.273,171.57,CO2 센서,CO2 센서,성공,
13,2025-10-24 09:57:07.281,2025-10-24 09:57:07.454,172.84,단상 전력량계,단상 전력량계,성공,
14,2025-10-24 09:57:08.464,2025-10-24 09:57:08.636,172.25,온습도 센서,온습도 센서,성공,
15,2025-10-24 09:57:09.649,2025-10-24 09:57:09.759,109.59,CO2 센서,CO2 센서,성공,
16,2025-10-24 09:57:10.773,2025-10-24 09:57:10.896,122.97,단상 전력량계,단상 전력량계,성공,
17,2025-10-24 09:57:11.906,2025-10-24 09:57:12.015,108.87,온습도 센서,온습도 센서,성공,
18,2025-10-24 09:57:13.031,2025-10-24 09:57:13.138,107.44,CO2 센서,CO2 센서,성공,
19,2025-10-24 09:57:14.153,2025-10-24 09:57:14.263,109.77,단상 전력량계,단상 전력량계,실패,"프레임 크기 불일치 (예상: 17 bytes, 실제: 7 bytes)"
1,2025-10-24 10:46:13.460,2025-10-24 10:46:13.582,122.27,단상 전력량계,단상 전력량계,성공,
2,2025-10-24 10:46:14.595,2025-10-24 10:46:14.765,170.61,온습도 센서,온습도 센서,성공,
3,2025-10-24 10:46:15.777,2025-10-24 10:46:15.948,,CO2 센서,CO2 센서,타임아웃,응답 없음
4,2025-10-24 10:46:16.958,2025-10-24 10:46:17.100,,단상 전력량계,단상 전력량계,타임아웃,응답 없음
5,2025-10-24 10:46:18.112,2025-10-24 10:46:18.282,169.55,온습도 센서,온습도 센서,성공,
6,2025-10-24 10:46:19.295,2025-10-24 10:46:19.464,,CO2 센서,CO2 센서,타임아웃,응답 없음
7,2025-10-24 10:46:20.476,2025-10-24 10:46:20.647,171.03,단상 전력량계,단상 전력량계,실패,"프레임 크기 불일치 (예상: 17 bytes, 실제: 7 bytes)"
8,2025-10-24 10:46:21.659,2025-10-24 10:46:21.831,172.30,온습도 센서,온습도 센서,성공,
9,2025-10-24 10:46:22.847,2025-10-24 10:46:23.019,171.92,CO2 센서,CO2 센서,성공,
10,2025-10-24 10:46:24.030,2025-10-24 10:46:24.200,169.48,단상 전력량계,단상 전력량계,실패,"프레임 크기 불일치 (예상: 17 bytes, 실제: 7 bytes)"
11,2025-10-24 10:46:25.215,2025-10-24 10:46:25.388,173.50,온습도 센서,온습도 센서,성공,
12,2025-10-24 10:46:26.398,2025-10-24 10:46:26.571,172.93,CO2 센서,CO2 센서,성공,
13,2025-10-24 10:46:27.583,2025-10-24 10:46:27.692,109.43,단상 전력량계,단상 전력량계,성공,
14,2025-10-24 10:46:28.703,2025-10-24 10:46:28.875,172.24,온습도 센서,온습도 센서,성공,
15,2025-10-24 10:46:29.888,2025-10-24 10:46:30.059,,CO2 센서,CO2 센서,타임아웃,응답 없음
16,2025-10-24 10:46:31.073,2025-10-24 10:46:31.246,173.07,단상 전력량계,단상 전력량계,성공,
17,2025-10-24 10:46:32.261,2025-10-24 10:46:32.432,170.33,온습도 센서,온습도 센서,성공,
18,2025-10-24 10:46:33.445,2025-10-24 10:46:33.617,172.32,CO2 센서,CO2 센서,성공,
1,2025-10-24 11:07:23.222,2025-10-24 11:07:23.357,135.21,단상 전력량계,단상 전력량계,성공,
2,2025-10-24 11:07:24.368,2025-10-24 11:07:24.477,109.46,온습도 센서,온습도 센서,성공,
3,2025-10-24 11:07:25.490,2025-10-24 11:07:25.600,109.99,CO2 센서,CO2 센서,성공,
4,2025-10-24 11:07:26.614,2025-10-24 11:07:26.722,,단상 전력량계,단상 전력량계,타임아웃,응답 없음
5,2025-10-24 11:07:27.738,2025-10-24 11:07:27.848,,온습도 센서,온습도 센서,타임아웃,응답 없음
6,2025-10-24 11:07:28.863,2025-10-24 11:07:29.035,,CO2 센서,CO2 센서,타임아웃,응답 없음
7,2025-10-24 11:07:30.046,2025-10-24 11:07:30.216,169.30,단상 전력량계,단상 전력량계,성공,
