시간,MSG_Type,센서명,측정항목,값,단위,상태
2025-10-24 09:56:53.376,0x01,단상 전력량계,전압,225.3,V,OK
2025-10-24 09:56:53.376,0x01,단상 전력량계,전류,11.69,A,OK
2025-10-24 09:56:53.376,0x01,단상 전력량계,전력,1.876,kW,OK
2025-10-24 09:56:53.376,0x01,단상 전력량계,전력량,10640,kWh,OK
2025-10-24 09:56:54.499,0x07,온습도 센서,온도,19.9,℃,OK
2025-10-24 09:56:54.499,0x07,온습도 센서,습도,69.2,%,OK
2025-10-24 09:56:55.684,0x06,CO2 센서,CO2,580,ppm,OK
2025-10-24 09:56:58.049,0x07,온습도 센서,온도,32.5,℃,OK
2025-10-24 09:56:58.049,0x07,온습도 센서,습도,76.5,%,OK
2025-10-24 09:56:59.169,0x06,CO2 센서,CO2,1151,ppm,OK
2025-10-24 09:57:00.353,0x01,단상 전력량계,전압,218.5,V,OK
2025-10-24 09:57:00.353,0x01,단상 전력량계,전류,14.05,A,OK
2025-10-24 09:57:00.353,0x01,단상 전력량계,전력,1.117,kW,OK
2025-10-24 09:57:00.353,0x01,단상 전력량계,전력량,34322,kWh,OK
2025-10-24 09:57:01.536,0x07,온습도 센서,온도,33.5,℃,OK
2025-10-24 09:57:01.536,0x07,온습도 센서,습도,53.1,%,OK
2025-10-24 09:57:02.721,0x06,CO2 센서,CO2,750,ppm,OK
2025-10-24 09:57:03.909,0x01,단상 전력량계,전압,215.4,V,OK
2025-10-24 09:57:03.909,0x01,단상 전력량계,전류,7.45,A,OK
2025-10-24 09:57:03.909,0x01,단상 전력량계,전력,2.658,kW,OK
2025-10-24 09:57:03.909,0x01,단상 전력량계,전력량,42369,kWh,OK
2025-10-24 09:57:05.090,0x07,온습도 센서,온도,20.3,℃,OK
2025-10-24 09:57:05.090,0x07,온습도 센서,습도,59.1,%,OK
2025-10-24 09:57:06.273,0x06,CO2 센서,CO2,1385,ppm,OK
2025-10-24 09:57:07.454,0x01,단상 전력량계,전압,217.2,V,OK
2025-10-24 09:57:07.454,0x01,단상 전력량계,전류,5.46,A,OK
2025-10-24 09:57:07.454,0x01,단상 전력량계,전력,4.767,kW,OK
2025-10-24 09:57:07.454,0x01,단상 전력량계,전력량,77278,kWh,OK
2025-10-24 09:57:08.636,0x07,온습도 센서,온도,30.5,℃,OK
2025-10-24 09:57:08.636,0x07,온습도 센서,습도,75.5,%,OK
2025-10-24 09:57:09.759,0x06,CO2 센서,CO2,714,ppm,OK
2025-10-24 09:57:10.896,0x01,단상 전력량계,전압,223.0,V,OK
2025-10-24 09:57:10.896,0x01,단상 전력량계,전류,14.05,A,OK
2025-10-24 09:57:10.896,0x01,단상 전력량계,전력,3.952,kW,OK
2025-10-24 09:57:10.896,0x01,단상 전력량계,전력량,6011,kWh,OK
2025-10-24 09:57:12.015,0x07,온습도 센서,온도,21.2,℃,OK
2025-10-24 09:57:12.015,0x07,온습도 센서,습도,45.2,%,OK
2025-10-24 09:57:13.138,0x06,CO2 센서,CO2,1055,ppm,OK
2025-10-24 10:46:13.582,0x01,단상 전력량계,전압,217.8,V,OK
